SONG_ID,SOURCE,ANNOTATOR1,ANNOTATOR2,FILE_LOCATION,SONG_DURATION,EMPTY,SONG_TITLE,ARTIST,FORMAT,ANNOTATION_TIME1,ANNOTATION_TIME2,TEXTFILE1,TEXTFILE2,CLASS,GENRE,SUBMISSION_DATE1,SUBMISSION_DATE2,SONG_WAS_PRIVATE_FLAG,SONG_WAS_DISCARDED_FLAG,XEQS1,XEQS2
10007,,,,,,,Adorned,Me & Louise,,,,,,,,,,,,,
10008,,,,,,,In Between,Me & Louise,,,,,,,,,,,,,
10009,,,,,,,Renewed,Me & Louise,,,,,,,,,,,,,
10010,,,,,,,Shepard's Bay,Me & Louise,,,,,,,,,,,,,
10011,,,,,,,In My Heart,Me & Louise,,,,,,,,,,,,,
10012,,,,,,,Pieces of Louise,Me & Louise,,,,,,,,,,,,,
10013,,,,,,,Step 9,Me & Louise,,,,,,,,,,,,,
10014,,,,,,,Names We Were Given,Me & Louise,,,,,,,,,,,,,
10015,,,,,,,Abigail,The Suicide Racoon,,,,,,,,,,,,,
10016,,,,,,,All Along,The Hubcaps,,,,,,,,,,,,,
10017,,,,,,,Alpha 21,The Suicide Raccoon,,,,,,,,,,,,,
10018,,,,,,,Another Song,The Hubcaps,,,,,,,,,,,,,
